ds,table_name,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count,pg_table_size
1650354399.3407195,public.accounts,18369,public,accounts,2,0,20008370,20008370,10000000,0,0,0,10000221,0,0,1654016,,2022-04-19 07:25:55.075319+00:00,,2022-04-19 07:28:52.264213+00:00,0,10,0,14,1092689920
1650354399.3407195,public.added_tweets,18462,public,added_tweets,2,0,0,0,4566,0,0,0,4566,0,0,1023,,2022-04-19 07:30:50.174900+00:00,,2022-04-19 07:31:50.245892+00:00,0,1,0,2,909312
1650354399.3407195,public.checking,18385,public,checking,1,0,9895,9895,10000000,5701,0,319,10000160,5589,5040,1615328,,2022-04-19 07:25:59.257307+00:00,,2022-04-19 07:28:55.423079+00:00,0,10,0,14,443260928
1650354399.3407195,public.customer,18513,public,customer,2,0,3000000,87148457,1500000,0,0,0,1488887,0,16176,189008,,2022-04-19 07:43:55.169245+00:00,,2022-04-19 07:45:53.405614+00:00,0,9,0,12,929521664
1650354399.3407195,public.district,18503,public,district,1010336,173107735,1989665,1989665,500,0,0,0,500,0,70,500,,,,2022-04-19 07:43:50.580849+00:00,0,0,0,5,90112
1650354399.3407195,public.followers,18420,public,followers,1,0,31867,10027,11368,0,0,0,11368,0,0,0,,2022-04-19 07:30:50.260194+00:00,,2022-04-19 07:30:50.267293+00:00,0,1,0,1,458752
1650354399.3407195,public.follows,18435,public,follows,1,0,4500,7777,11368,0,0,0,11368,0,0,0,,2022-04-19 07:30:50.279367+00:00,,2022-04-19 07:30:50.286447+00:00,0,1,0,1,458752
1650354399.3407195,public.history,18526,public,history,0,0,,,1500000,0,0,0,1500000,0,30000,30000,,2022-04-19 07:45:54.401214+00:00,,2022-04-19 07:45:55.019484+00:00,0,9,0,12,129482752
1650354399.3407195,public.item,18483,public,item,1,0,5000000,5000000,100000,0,0,0,100000,0,0,0,,2022-04-19 07:31:55.928048+00:00,,2022-04-19 07:31:56.208160+00:00,0,1,0,1,10444800
1650354399.3407195,public.new_order,18553,public,new_order,1,0,0,0,450000,0,0,0,450000,0,9000,45000,,2022-04-19 07:44:50.612410+00:00,,2022-04-19 07:45:50.768667+00:00,0,8,0,11,19963904
1650354399.3407195,public.oorder,18540,public,oorder,3,0,15451721,15451721,1500000,0,0,0,1500000,0,30000,150000,,2022-04-19 07:44:55.070320+00:00,,2022-04-19 07:45:55.672068+00:00,0,9,0,13,98869248
1650354399.3407195,public.order_line,18563,public,order_line,1,0,0,0,15001721,0,0,0,14981479,0,1500814,300240,,2022-04-19 07:46:05.686365+00:00,,2022-04-19 07:44:57.323222+00:00,0,9,0,11,1517666304
1650354399.3407195,public.savings,18375,public,savings,1,0,5405,5405,10000000,1790,0,31,9999840,1756,1631,1634560,,2022-04-19 07:25:57.159788+00:00,,2022-04-19 07:28:53.839524+00:00,0,10,0,14,443105280
1650354399.3407195,public.stock,18488,public,stock,1,0,15001721,15001721,5000000,0,0,0,4924550,0,220544,900000,,2022-04-19 07:42:57.331059+00:00,,2022-04-19 07:44:54.497996+00:00,0,9,0,12,1778114560
1650354399.3407195,public.tweets,18450,public,tweets,2,0,426711,4415584,200000,0,0,0,200000,0,0,0,,2022-04-19 07:30:50.429461+00:00,,2022-04-19 07:30:50.672411+00:00,0,1,0,1,38158336
1650354399.3407195,public.user_profiles,18409,public,user_profiles,2272,11345000,252396,252396,5000,0,0,0,5000,0,0,0,,2022-04-19 07:30:50.217510+00:00,,2022-04-19 07:30:50.233875+00:00,0,1,0,1,401408
1650354399.3407195,public.warehouse,18478,public,warehouse,1,0,5000500,5000500,50,0,0,0,50,0,50,50,,,,,0,0,0,0,8192
1650354399.4435182,public.accounts,18369,public,accounts,2,0,20008370,20008370,10000000,0,0,0,10000221,0,0,1654016,,2022-04-19 07:25:55.075319+00:00,,2022-04-19 07:28:52.264213+00:00,0,10,0,14,1092689920
1650354399.4435182,public.added_tweets,18462,public,added_tweets,2,0,0,0,4566,0,0,0,4566,0,0,1023,,2022-04-19 07:30:50.174900+00:00,,2022-04-19 07:31:50.245892+00:00,0,1,0,2,909312
1650354399.4435182,public.checking,18385,public,checking,1,0,9895,9895,10000000,5701,0,319,10000160,5589,5040,1615328,,2022-04-19 07:25:59.257307+00:00,,2022-04-19 07:28:55.423079+00:00,0,10,0,14,443260928
