ds,table_name,pg_stat_get_live_tuples,pg_stat_get_dead_tuples,pg_table_size,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1650433673.319884,public.usertable,104552,5356,128368640,16552,public,usertable,1,0,20539,220069,107650,2418,3098,470,104552,5356,113166,107650,,,,,0,0,0,0
1650433674.351941,public.usertable,104704,5495,128696320,16552,public,usertable,1,0,21213,225910,107880,2483,3176,484,104704,5495,113539,107880,,,,,0,0,0,0
1650433675.3820243,public.usertable,104879,5628,129056768,16552,public,usertable,1,0,21899,232783,108124,2552,3245,501,104879,5628,113921,108124,,,,,0,0,0,0
1650433676.4105895,public.usertable,105045,5750,129384448,16552,public,usertable,1,0,22539,236883,108357,2610,3312,518,105045,5750,114279,108357,,,,,0,0,0,0
1650433677.4402256,public.usertable,105192,5889,129720320,16552,public,usertable,1,0,23151,241978,108584,2670,3392,532,105192,5889,114646,108584,,,,,0,0,0,0
1650433678.4694638,public.usertable,105368,6022,130072576,16552,public,usertable,1,0,23826,246393,108836,2730,3468,549,105368,6022,115034,108836,,,,,0,0,0,0
1650433679.4991252,public.usertable,105551,6144,130424832,16552,public,usertable,1,0,24497,254294,109085,2792,3534,566,105551,6144,115411,109085,,,,,0,0,0,0
1650433680.5293577,public.usertable,105717,6292,130785280,16552,public,usertable,1,0,25194,259197,109336,2857,3619,579,105717,6292,115812,109336,,,,,0,0,0,0
1650433681.5598156,public.usertable,105900,6421,131145728,16552,public,usertable,1,0,25819,263415,109587,2918,3687,597,105900,6421,116192,109587,,,,,0,0,0,0
1650433682.590181,public.usertable,106058,6567,131473408,16552,public,usertable,1,0,26538,267556,109827,2989,3769,617,106058,6567,116585,109827,,,,,0,0,0,0
1650433683.6191616,public.usertable,106243,6683,131850240,16552,public,usertable,1,0,27147,271619,110080,3038,3837,628,106243,6683,116955,110080,,,,,0,0,0,0
1650433684.65032,public.usertable,106431,6820,132235264,16552,public,usertable,1,0,27831,274253,110344,3100,3913,638,106431,6820,117357,110344,,,,,0,0,0,0
1650433685.6791642,public.usertable,106625,6951,132579328,16552,public,usertable,1,0,28564,278551,110609,3163,3984,654,106625,6951,117756,110609,,,,,0,0,0,0
1650433686.708543,public.usertable,106786,7074,132931584,16552,public,usertable,1,0,29206,283149,110842,3225,4056,677,106786,7074,118123,110842,,,,,0,0,0,0
1650433687.74032,public.usertable,106934,7239,133283840,16552,public,usertable,1,0,29978,287634,111083,3303,4149,695,106934,7239,118535,111083,,,,,0,0,0,0
1650433688.7697632,public.usertable,107224,7424,133668864,16552,public,usertable,1,0,30947,295674,111485,3386,4261,724,107224,7424,119132,111485,,,,,0,0,0,0
1650433689.8020191,public.usertable,107417,7552,134029312,16552,public,usertable,1,0,31685,301049,111753,3443,4336,740,107417,7552,119532,111753,,,,,0,0,0,0
1650433690.8329146,public.usertable,107569,7708,134373376,16552,public,usertable,1,0,32402,305799,111994,3512,4425,766,107569,7708,119931,111994,,,,,0,0,0,0
1650433691.861543,public.usertable,107752,7836,134750208,16552,public,usertable,1,0,33098,312401,112254,3575,4502,779,107752,7836,120331,112254,,,,,0,0,0,0
1650433692.893403,public.usertable,107914,7977,135094272,16552,public,usertable,1,0,33818,316510,112500,3632,4586,796,107914,7977,120718,112500,,,,,0,0,0,0
1650433693.9245446,public.usertable,108088,8120,135397376,16552,public,usertable,1,0,34562,322520,112750,3702,4662,817,108088,8120,121114,112750,,,,,0,0,0,0
