ds,public.accounts,public.checking,public.savings
1650326707.5052705,1092648960,443023360,443031552
1650326707.6064932,1092648960,443023360,443031552
1650326707.7080023,1092648960,443023360,443031552
1650326707.8092265,1092648960,443023360,443031552
1650326707.91054,1092648960,443023360,443031552
1650326708.0116923,1092648960,443023360,443031552
1650326708.1133358,1092648960,443023360,443031552
1650326708.2166095,1092648960,443023360,443031552
1650326708.3180609,1092648960,443023360,443031552
1650326708.419182,1092648960,443023360,443031552
1650326708.5203085,1092648960,443023360,443031552
1650326708.6215994,1092648960,443023360,443031552
1650326708.7227373,1092648960,443031552,443039744
1650326708.8238776,1092648960,443031552,443039744
1650326708.9250166,1092648960,443031552,443039744
1650326709.0261476,1092648960,443031552,443039744
1650326709.1273026,1092648960,443031552,443039744
1650326709.2284174,1092648960,443031552,443039744
1650326709.3295424,1092648960,443031552,443039744
1650326709.4307477,1092648960,443031552,443039744
1650326709.5318573,1092648960,443031552,443039744
1650326709.6329665,1092648960,443031552,443039744
1650326709.7340543,1092648960,443031552,443039744
1650326709.835161,1092648960,443031552,443039744
1650326709.936292,1092648960,443031552,443039744
1650326710.0374186,1092648960,443031552,443039744
1650326710.1385565,1092648960,443031552,443039744
1650326710.2396624,1092648960,443031552,443039744
1650326710.3409526,1092648960,443031552,443039744
1650326710.4420907,1092648960,443031552,443039744
1650326710.5431798,1092648960,443031552,443039744
1650326710.6443071,1092648960,443031552,443039744
1650326710.7454028,1092648960,443031552,443039744
1650326710.8465056,1092648960,443039744,443039744
1650326710.9475923,1092648960,443039744,443039744
1650326711.0487192,1092648960,443039744,443039744
1650326711.1498435,1092648960,443039744,443039744
1650326711.2510715,1092648960,443039744,443039744
1650326711.3521779,1092648960,443039744,443039744
1650326711.4533134,1092648960,443039744,443039744
1650326711.5544207,1092648960,443039744,443039744
1650326711.6555204,1092648960,443039744,443039744
1650326711.7566469,1092648960,443039744,443039744
1650326711.8577626,1092648960,443039744,443039744
1650326711.958855,1092648960,443039744,443039744
1650326712.0599852,1092648960,443039744,443039744
1650326712.161248,1092648960,443039744,443039744
1650326712.2623863,1092648960,443039744,443039744
1650326712.363474,1092648960,443039744,443039744
1650326712.4645102,1092648960,443039744,443039744
1650326712.5655787,1092648960,443047936,443039744
1650326712.6666136,1092648960,443047936,443039744
1650326712.7677145,1092648960,443047936,443039744
1650326712.868872,1092648960,443047936,443039744
1650326712.9699733,1092648960,443047936,443039744
1650326713.0712078,1092648960,443047936,443039744
1650326713.172313,1092648960,443047936,443039744
1650326713.2734234,1092648960,443047936,443039744
1650326713.3745537,1092648960,443047936,443039744
1650326713.4757025,1092648960,443047936,443039744
1650326713.576857,1092648960,443047936,443039744
1650326713.677971,1092648960,443047936,443039744
1650326713.7790916,1092648960,443047936,443039744
1650326713.8801892,1092648960,443047936,443039744
1650326713.9815085,1092648960,443047936,443039744
1650326714.0825782,1092648960,443047936,443039744
1650326714.1836667,1092648960,443047936,443039744
1650326714.284792,1092648960,443047936,443039744
1650326714.3859112,1092648960,443056128,443039744
1650326714.4870656,1092648960,443056128,443039744
1650326714.5882215,1092648960,443056128,443039744
1650326714.6893885,1092648960,443056128,443039744
1650326714.7905242,1092648960,443056128,443039744
1650326714.891786,1092648960,443056128,443047936
