ds,table_name,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count,pg_table_size
1650372201.905458,public.accounts,19341,public,accounts,2,0,200000000,200000000,100000000,0,0,0,99418693,0,6395072,197248,,2022-04-19 12:42:58.724345+00:00,,2022-04-19 12:32:01.398339+00:00,0,21,0,35,10925867008
1650372201.905458,public.added_tweets,18894,public,added_tweets,2,0,0,0,4968,0,0,0,4968,0,0,0,,2022-04-19 09:17:55.482135+00:00,,2022-04-19 09:17:55.505560+00:00,0,1,0,2,983040
1650372201.905458,public.checking,19357,public,checking,1,0,0,0,100000000,0,0,0,99973828,0,4713600,18800000,,2022-04-19 12:10:16.844373+00:00,,2022-04-19 12:34:59.318684+00:00,0,20,0,35,4429914112
1650372201.905458,public.customer,18946,public,customer,2,0,6000773,7386806,3000000,226,0,8,3000159,223,180226,60000,,2022-04-19 09:46:04.123170+00:00,,2022-04-19 09:44:57.869874+00:00,0,11,0,16,1859174400
1650372201.905458,public.district,18936,public,district,959921,154064320,5040745,5040745,1000,263,0,263,1000,0,0,1000,,,,2022-04-19 09:48:52.603393+00:00,0,0,0,10,155648
1650372201.905458,public.followers,18852,public,followers,1,0,34304,587,61085,0,0,0,61085,0,0,0,,2022-04-19 09:16:52.165816+00:00,,2022-04-19 09:16:52.203612+00:00,0,1,0,1,2260992
1650372201.905458,public.follows,18867,public,follows,1,0,4936,884,61085,0,0,0,61085,0,0,0,,2022-04-19 09:16:52.261943+00:00,,2022-04-19 09:16:52.297017+00:00,0,1,0,1,2260992
1650372201.905458,public.history,18959,public,history,0,0,,,3000126,0,0,0,3000113,0,60126,420126,,2022-04-19 09:42:53.721519+00:00,,2022-04-19 09:46:05.953154+00:00,0,11,0,16,258973696
1650372201.905458,public.item,18916,public,item,1,0,10001394,10001392,100000,0,0,0,100000,0,0,0,,2022-04-19 09:18:55.363844+00:00,,2022-04-19 09:18:55.610783+00:00,0,1,0,1,10444800
1650372201.905458,public.new_order,18986,public,new_order,1,0,200,200,900137,0,100,0,900031,102,54235,18137,,2022-04-19 09:46:07.668993+00:00,,2022-04-19 09:44:58.232913+00:00,0,11,0,15,39903232
1650372201.905458,public.oorder,18973,public,oorder,3,0,30903604,30903604,3000137,100,0,69,3000135,43,60235,420137,,2022-04-19 09:42:55.759893+00:00,,2022-04-19 09:46:07.393234+00:00,0,11,0,16,197746688
1650372201.905458,public.order_line,18996,public,order_line,1,0,219,4733,30003261,1053,0,716,29960869,477,2143363,2967014,,2022-04-19 09:44:31.617698+00:00,,2022-04-19 09:44:59.938146+00:00,0,12,0,15,3035348992
1650372201.905458,public.savings,19347,public,savings,1,0,0,0,100000000,0,0,0,99740960,0,5845888,3360896,,2022-04-19 12:37:22.215938+00:00,,2022-04-19 12:32:59.771502+00:00,0,21,0,35,4429512704
1650372201.905458,public.stock,18921,public,stock,1,0,30008598,281131624,10000000,1369,0,508,9999920,861,601369,739584,,2022-04-19 09:44:12.964638+00:00,,2022-04-19 09:44:54.954927+00:00,0,11,0,17,3556540416
1650372201.905458,public.tweets,18882,public,tweets,2,0,456112,4696837,1000000,0,0,0,1000000,0,0,0,,2022-04-19 09:16:54.975018+00:00,,2022-04-19 09:16:55.626005+00:00,0,1,0,1,190603264
1650372201.905458,public.user_profiles,18841,public,user_profiles,3,0,1257290,1257290,25000,0,0,0,25000,0,0,0,,2022-04-19 09:16:52.030155+00:00,,2022-04-19 09:16:52.115185+00:00,0,1,0,1,1826816
1650372201.905458,public.warehouse,18911,public,warehouse,1,0,10001391,10001391,100,126,0,126,100,30,0,100,,,,2022-04-19 09:48:52.583391+00:00,0,0,0,3,204800
1650372202.0086045,public.accounts,19341,public,accounts,2,0,200000000,200000000,100000000,0,0,0,99418693,0,6395072,197248,,2022-04-19 12:42:58.724345+00:00,,2022-04-19 12:32:01.398339+00:00,0,21,0,35,10925867008
1650372202.0086045,public.added_tweets,18894,public,added_tweets,2,0,0,0,4968,0,0,0,4968,0,0,0,,2022-04-19 09:17:55.482135+00:00,,2022-04-19 09:17:55.505560+00:00,0,1,0,2,983040
1650372202.0086045,public.checking,19357,public,checking,1,0,0,0,100000000,0,0,0,99973828,0,4713600,18800000,,2022-04-19 12:10:16.844373+00:00,,2022-04-19 12:34:59.318684+00:00,0,20,0,35,4429914112
1650372202.0086045,public.customer,18946,public,customer,2,0,6000773,7386806,3000000,226,0,8,3000159,223,180226,60000,,2022-04-19 09:46:04.123170+00:00,,2022-04-19 09:44:57.869874+00:00,0,11,0,16,1859174400
1650372202.0086045,public.district,18936,public,district,959921,154064320,5040745,5040745,1000,263,0,263,1000,0,0,1000,,,,2022-04-19 09:48:52.603393+00:00,0,0,0,10,155648
1650372202.0086045,public.followers,18852,public,followers,1,0,34304,587,61085,0,0,0,61085,0,0,0,,2022-04-19 09:16:52.165816+00:00,,2022-04-19 09:16:52.203612+00:00,0,1,0,1,2260992
1650372202.0086045,public.follows,18867,public,follows,1,0,4936,884,61085,0,0,0,61085,0,0,0,,2022-04-19 09:16:52.261943+00:00,,2022-04-19 09:16:52.297017+00:00,0,1,0,1,2260992
1650372202.0086045,public.history,18959,public,history,0,0,,,3000126,0,0,0,3000113,0,60126,420126,,2022-04-19 09:42:53.721519+00:00,,2022-04-19 09:46:05.953154+00:00,0,11,0,16,258973696
1650372202.0086045,public.item,18916,public,item,1,0,10001394,10001392,100000,0,0,0,100000,0,0,0,,2022-04-19 09:18:55.363844+00:00,,2022-04-19 09:18:55.610783+00:00,0,1,0,1,10444800
1650372202.0086045,public.new_order,18986,public,new_order,1,0,200,200,900137,0,100,0,900031,102,54235,18137,,2022-04-19 09:46:07.668993+00:00,,2022-04-19 09:44:58.232913+00:00,0,11,0,15,39903232
1650372202.0086045,public.oorder,18973,public,oorder,3,0,30903604,30903604,3000137,100,0,69,3000135,43,60235,420137,,2022-04-19 09:42:55.759893+00:00,,2022-04-19 09:46:07.393234+00:00,0,11,0,16,197746688
1650372202.0086045,public.order_line,18996,public,order_line,1,0,219,4733,30003261,1053,0,716,29960869,477,2143363,2967014,,2022-04-19 09:44:31.617698+00:00,,2022-04-19 09:44:59.938146+00:00,0,12,0,15,3035348992
1650372202.0086045,public.savings,19347,public,savings,1,0,0,0,100000000,0,0,0,99740960,0,5845888,3360896,,2022-04-19 12:37:22.215938+00:00,,2022-04-19 12:32:59.771502+00:00,0,21,0,35,4429512704
1650372202.0086045,public.stock,18921,public,stock,1,0,30008598,281131624,10000000,1369,0,508,9999920,861,601369,739584,,2022-04-19 09:44:12.964638+00:00,,2022-04-19 09:44:54.954927+00:00,0,11,0,17,3556540416
1650372202.0086045,public.tweets,18882,public,tweets,2,0,456112,4696837,1000000,0,0,0,1000000,0,0,0,,2022-04-19 09:16:54.975018+00:00,,2022-04-19 09:16:55.626005+00:00,0,1,0,1,190603264
1650372202.0086045,public.user_profiles,18841,public,user_profiles,3,0,1257290,1257290,25000,0,0,0,25000,0,0,0,,2022-04-19 09:16:52.030155+00:00,,2022-04-19 09:16:52.115185+00:00,0,1,0,1,1826816
1650372202.0086045,public.warehouse,18911,public,warehouse,1,0,10001391,10001391,100,126,0,126,100,30,0,100,,,,2022-04-19 09:48:52.583391+00:00,0,0,0,3,204800
1650372202.1115813,public.accounts,19341,public,accounts,2,0,200000000,200000000,100000000,0,0,0,99418693,0,6395072,197248,,2022-04-19 12:42:58.724345+00:00,,2022-04-19 12:32:01.398339+00:00,0,21,0,35,10925867008
1650372202.1115813,public.added_tweets,18894,public,added_tweets,2,0,0,0,4968,0,0,0,4968,0,0,0,,2022-04-19 09:17:55.482135+00:00,,2022-04-19 09:17:55.505560+00:00,0,1,0,2,983040
1650372202.1115813,public.checking,19357,public,checking,1,0,0,0,100000000,0,0,0,99973828,0,4713600,18800000,,2022-04-19 12:10:16.844373+00:00,,2022-04-19 12:34:59.318684+00:00,0,20,0,35,4429914112
1650372202.1115813,public.customer,18946,public,customer,2,0,6000773,7386806,3000000,226,0,8,3000159,223,180226,60000,,2022-04-19 09:46:04.123170+00:00,,2022-04-19 09:44:57.869874+00:00,0,11,0,16,1859174400
1650372202.1115813,public.district,18936,public,district,959921,154064320,5040745,5040745,1000,263,0,263,1000,0,0,1000,,,,2022-04-19 09:48:52.603393+00:00,0,0,0,10,155648
1650372202.1115813,public.followers,18852,public,followers,1,0,34304,587,61085,0,0,0,61085,0,0,0,,2022-04-19 09:16:52.165816+00:00,,2022-04-19 09:16:52.203612+00:00,0,1,0,1,2260992
1650372202.1115813,public.follows,18867,public,follows,1,0,4936,884,61085,0,0,0,61085,0,0,0,,2022-04-19 09:16:52.261943+00:00,,2022-04-19 09:16:52.297017+00:00,0,1,0,1,2260992
1650372202.1115813,public.history,18959,public,history,0,0,,,3000126,0,0,0,3000113,0,60126,420126,,2022-04-19 09:42:53.721519+00:00,,2022-04-19 09:46:05.953154+00:00,0,11,0,16,258973696
1650372202.1115813,public.item,18916,public,item,1,0,10001394,10001392,100000,0,0,0,100000,0,0,0,,2022-04-19 09:18:55.363844+00:00,,2022-04-19 09:18:55.610783+00:00,0,1,0,1,10444800
1650372202.1115813,public.new_order,18986,public,new_order,1,0,200,200,900137,0,100,0,900031,102,54235,18137,,2022-04-19 09:46:07.668993+00:00,,2022-04-19 09:44:58.232913+00:00,0,11,0,15,39903232
1650372202.1115813,public.oorder,18973,public,oorder,3,0,30903604,30903604,3000137,100,0,69,3000135,43,60235,420137,,2022-04-19 09:42:55.759893+00:00,,2022-04-19 09:46:07.393234+00:00,0,11,0,16,197746688
1650372202.1115813,public.order_line,18996,public,order_line,1,0,219,4733,30003261,1053,0,716,29960869,477,2143363,2967014,,2022-04-19 09:44:31.617698+00:00,,2022-04-19 09:44:59.938146+00:00,0,12,0,15,3035348992
1650372202.1115813,public.savings,19347,public,savings,1,0,0,0,100000000,0,0,0,99740960,0,5845888,3360896,,2022-04-19 12:37:22.215938+00:00,,2022-04-19 12:32:59.771502+00:00,0,21,0,35,4429512704
1650372202.1115813,public.stock,18921,public,stock,1,0,30008598,281131624,10000000,1369,0,508,9999920,861,601369,739584,,2022-04-19 09:44:12.964638+00:00,,2022-04-19 09:44:54.954927+00:00,0,11,0,17,3556540416
1650372202.1115813,public.tweets,18882,public,tweets,2,0,456112,4696837,1000000,0,0,0,1000000,0,0,0,,2022-04-19 09:16:54.975018+00:00,,2022-04-19 09:16:55.626005+00:00,0,1,0,1,190603264
1650372202.1115813,public.user_profiles,18841,public,user_profiles,3,0,1257290,1257290,25000,0,0,0,25000,0,0,0,,2022-04-19 09:16:52.030155+00:00,,2022-04-19 09:16:52.115185+00:00,0,1,0,1,1826816
1650372202.1115813,public.warehouse,18911,public,warehouse,1,0,10001391,10001391,100,126,0,126,100,30,0,100,,,,2022-04-19 09:48:52.583391+00:00,0,0,0,3,204800
1650372202.214824,public.accounts,19341,public,accounts,2,0,200000000,200000000,100000000,0,0,0,99418693,0,6395072,197248,,2022-04-19 12:42:58.724345+00:00,,2022-04-19 12:32:01.398339+00:00,0,21,0,35,10925867008
1650372202.214824,public.added_tweets,18894,public,added_tweets,2,0,0,0,4968,0,0,0,4968,0,0,0,,2022-04-19 09:17:55.482135+00:00,,2022-04-19 09:17:55.505560+00:00,0,1,0,2,983040
1650372202.214824,public.checking,19357,public,checking,1,0,0,0,100000000,0,0,0,99973828,0,4713600,18800000,,2022-04-19 12:10:16.844373+00:00,,2022-04-19 12:34:59.318684+00:00,0,20,0,35,4429914112
1650372202.214824,public.customer,18946,public,customer,2,0,6000773,7386806,3000000,226,0,8,3000159,223,180226,60000,,2022-04-19 09:46:04.123170+00:00,,2022-04-19 09:44:57.869874+00:00,0,11,0,16,1859174400
1650372202.214824,public.district,18936,public,district,959921,154064320,5040745,5040745,1000,263,0,263,1000,0,0,1000,,,,2022-04-19 09:48:52.603393+00:00,0,0,0,10,155648
1650372202.214824,public.followers,18852,public,followers,1,0,34304,587,61085,0,0,0,61085,0,0,0,,2022-04-19 09:16:52.165816+00:00,,2022-04-19 09:16:52.203612+00:00,0,1,0,1,2260992
1650372202.214824,public.follows,18867,public,follows,1,0,4936,884,61085,0,0,0,61085,0,0,0,,2022-04-19 09:16:52.261943+00:00,,2022-04-19 09:16:52.297017+00:00,0,1,0,1,2260992
1650372202.214824,public.history,18959,public,history,0,0,,,3000126,0,0,0,3000113,0,60126,420126,,2022-04-19 09:42:53.721519+00:00,,2022-04-19 09:46:05.953154+00:00,0,11,0,16,258973696
1650372202.214824,public.item,18916,public,item,1,0,10001394,10001392,100000,0,0,0,100000,0,0,0,,2022-04-19 09:18:55.363844+00:00,,2022-04-19 09:18:55.610783+00:00,0,1,0,1,10444800
1650372202.214824,public.new_order,18986,public,new_order,1,0,200,200,900137,0,100,0,900031,102,54235,18137,,2022-04-19 09:46:07.668993+00:00,,2022-04-19 09:44:58.232913+00:00,0,11,0,15,39903232
1650372202.214824,public.oorder,18973,public,oorder,3,0,30903604,30903604,3000137,100,0,69,3000135,43,60235,420137,,2022-04-19 09:42:55.759893+00:00,,2022-04-19 09:46:07.393234+00:00,0,11,0,16,197746688
1650372202.214824,public.order_line,18996,public,order_line,1,0,219,4733,30003261,1053,0,716,29960869,477,2143363,2967014,,2022-04-19 09:44:31.617698+00:00,,2022-04-19 09:44:59.938146+00:00,0,12,0,15,3035348992
1650372202.214824,public.savings,19347,public,savings,1,0,0,0,100000000,0,0,0,99740960,0,5845888,3360896,,2022-04-19 12:37:22.215938+00:00,,2022-04-19 12:32:59.771502+00:00,0,21,0,35,4429512704
1650372202.214824,public.stock,18921,public,stock,1,0,30008598,281131624,10000000,1369,0,508,9999920,861,601369,739584,,2022-04-19 09:44:12.964638+00:00,,2022-04-19 09:44:54.954927+00:00,0,11,0,17,3556540416
1650372202.214824,public.tweets,18882,public,tweets,2,0,456112,4696837,1000000,0,0,0,1000000,0,0,0,,2022-04-19 09:16:54.975018+00:00,,2022-04-19 09:16:55.626005+00:00,0,1,0,1,190603264
1650372202.214824,public.user_profiles,18841,public,user_profiles,3,0,1257290,1257290,25000,0,0,0,25000,0,0,0,,2022-04-19 09:16:52.030155+00:00,,2022-04-19 09:16:52.115185+00:00,0,1,0,1,1826816
1650372202.214824,public.warehouse,18911,public,warehouse,1,0,10001391,10001391,100,126,0,126,100,30,0,100,,,,2022-04-19 09:48:52.583391+00:00,0,0,0,3,204800
1650372202.3189301,public.accounts,19341,public,accounts,2,0,200000000,200000000,100000000,0,0,0,99418693,0,6395072,197248,,2022-04-19 12:42:58.724345+00:00,,2022-04-19 12:32:01.398339+00:00,0,21,0,35,10925867008
1650372202.3189301,public.added_tweets,18894,public,added_tweets,2,0,0,0,4968,0,0,0,4968,0,0,0,,2022-04-19 09:17:55.482135+00:00,,2022-04-19 09:17:55.505560+00:00,0,1,0,2,983040
1650372202.3189301,public.checking,19357,public,checking,1,0,0,0,100000000,0,0,0,99973828,0,4713600,18800000,,2022-04-19 12:10:16.844373+00:00,,2022-04-19 12:34:59.318684+00:00,0,20,0,35,4429914112
1650372202.3189301,public.customer,18946,public,customer,2,0,6000773,7386806,3000000,226,0,8,3000159,223,180226,60000,,2022-04-19 09:46:04.123170+00:00,,2022-04-19 09:44:57.869874+00:00,0,11,0,16,1859174400
1650372202.3189301,public.district,18936,public,district,959921,154064320,5040745,5040745,1000,263,0,263,1000,0,0,1000,,,,2022-04-19 09:48:52.603393+00:00,0,0,0,10,155648
1650372202.3189301,public.followers,18852,public,followers,1,0,34304,587,61085,0,0,0,61085,0,0,0,,2022-04-19 09:16:52.165816+00:00,,2022-04-19 09:16:52.203612+00:00,0,1,0,1,2260992
1650372202.3189301,public.follows,18867,public,follows,1,0,4936,884,61085,0,0,0,61085,0,0,0,,2022-04-19 09:16:52.261943+00:00,,2022-04-19 09:16:52.297017+00:00,0,1,0,1,2260992
1650372202.3189301,public.history,18959,public,history,0,0,,,3000126,0,0,0,3000113,0,60126,420126,,2022-04-19 09:42:53.721519+00:00,,2022-04-19 09:46:05.953154+00:00,0,11,0,16,258973696
1650372202.3189301,public.item,18916,public,item,1,0,10001394,10001392,100000,0,0,0,100000,0,0,0,,2022-04-19 09:18:55.363844+00:00,,2022-04-19 09:18:55.610783+00:00,0,1,0,1,10444800
1650372202.3189301,public.new_order,18986,public,new_order,1,0,200,200,900137,0,100,0,900031,102,54235,18137,,2022-04-19 09:46:07.668993+00:00,,2022-04-19 09:44:58.232913+00:00,0,11,0,15,39903232
1650372202.3189301,public.oorder,18973,public,oorder,3,0,30903604,30903604,3000137,100,0,69,3000135,43,60235,420137,,2022-04-19 09:42:55.759893+00:00,,2022-04-19 09:46:07.393234+00:00,0,11,0,16,197746688
1650372202.3189301,public.order_line,18996,public,order_line,1,0,219,4733,30003261,1053,0,716,29960869,477,2143363,2967014,,2022-04-19 09:44:31.617698+00:00,,2022-04-19 09:44:59.938146+00:00,0,12,0,15,3035348992
1650372202.3189301,public.savings,19347,public,savings,1,0,0,0,100000000,0,0,0,99740960,0,5845888,3360896,,2022-04-19 12:37:22.215938+00:00,,2022-04-19 12:32:59.771502+00:00,0,21,0,35,4429512704
1650372202.3189301,public.stock,18921,public,stock,1,0,30008598,281131624,10000000,1369,0,508,9999920,861,601369,739584,,2022-04-19 09:44:12.964638+00:00,,2022-04-19 09:44:54.954927+00:00,0,11,0,17,3556540416
1650372202.3189301,public.tweets,18882,public,tweets,2,0,456112,4696837,1000000,0,0,0,1000000,0,0,0,,2022-04-19 09:16:54.975018+00:00,,2022-04-19 09:16:55.626005+00:00,0,1,0,1,190603264
1650372202.3189301,public.user_profiles,18841,public,user_profiles,3,0,1257290,1257290,25000,0,0,0,25000,0,0,0,,2022-04-19 09:16:52.030155+00:00,,2022-04-19 09:16:52.115185+00:00,0,1,0,1,1826816
1650372202.3189301,public.warehouse,18911,public,warehouse,1,0,10001391,10001391,100,126,0,126,100,30,0,100,,,,2022-04-19 09:48:52.583391+00:00,0,0,0,3,204800
1650372202.4218082,public.accounts,19341,public,accounts,2,0,200000000,200000000,100000000,0,0,0,99418693,0,6395072,197248,,2022-04-19 12:42:58.724345+00:00,,2022-04-19 12:32:01.398339+00:00,0,21,0,35,10925867008
1650372202.4218082,public.added_tweets,18894,public,added_tweets,2,0,0,0,4968,0,0,0,4968,0,0,0,,2022-04-19 09:17:55.482135+00:00,,2022-04-19 09:17:55.505560+00:00,0,1,0,2,983040
1650372202.4218082,public.checking,19357,public,checking,1,0,0,0,100000000,0,0,0,99973828,0,4713600,18800000,,2022-04-19 12:10:16.844373+00:00,,2022-04-19 12:34:59.318684+00:00,0,20,0,35,4429914112
1650372202.4218082,public.customer,18946,public,customer,2,0,6000773,7386806,3000000,226,0,8,3000159,223,180226,60000,,2022-04-19 09:46:04.123170+00:00,,2022-04-19 09:44:57.869874+00:00,0,11,0,16,1859174400
1650372202.4218082,public.district,18936,public,district,959921,154064320,5040745,5040745,1000,263,0,263,1000,0,0,1000,,,,2022-04-19 09:48:52.603393+00:00,0,0,0,10,155648
1650372202.4218082,public.followers,18852,public,followers,1,0,34304,587,61085,0,0,0,61085,0,0,0,,2022-04-19 09:16:52.165816+00:00,,2022-04-19 09:16:52.203612+00:00,0,1,0,1,2260992
