ds,table_name,pg_stat_get_live_tuples,pg_stat_get_dead_tuples,pg_table_size,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1650437518.7647092,public.order_line,14983609,102,1517756416,16590,public,order_line,1,0,26,459,15001832,102,0,0,14983609,102,818275,842109,,2022-04-20 06:50:52.559566+00:00,,2022-04-20 06:50:53.454844+00:00,0,9,0,12
1650437518.7647092,public.stock,4965635,111,1778237440,16515,public,stock,1,0,15002257,34902058,5000000,111,0,0,4965635,111,439951,479264,,2022-04-20 06:49:53.855234+00:00,,2022-04-20 06:49:56.504626+00:00,0,9,0,11
1650437518.7647092,public.warehouse,50,11,204800,16505,public,warehouse,1,0,5000534,5000534,50,11,0,11,50,11,61,50,,,,,0,0,0,0
1650437519.794445,public.customer,1500221,21,929734656,16540,public,customer,2,0,3000074,3701244,1500000,21,0,0,1500221,21,21,150000,,2022-04-20 06:49:57.155603+00:00,,2022-04-20 06:51:50.968898+00:00,0,8,0,11
1650437519.794445,public.district,500,23,90112,16530,public,district,1,0,3000058,3000058,500,23,0,23,500,23,72,500,,,,2022-04-20 06:49:56.520207+00:00,0,0,0,5
1650437519.794445,public.history,1499282,0,129499136,16553,public,history,0,0,,,1500011,0,0,0,1499282,0,56043,59499,,2022-04-20 06:50:49.467719+00:00,,2022-04-20 06:50:49.881876+00:00,0,8,0,11
1650437519.794445,public.item,100000,0,10444800,16510,public,item,1,0,5000116,5000115,100000,0,0,0,100000,0,0,0,,2022-04-20 06:37:50.495055+00:00,,2022-04-20 06:37:50.707147+00:00,0,1,0,1
1650437519.794445,public.new_order,450001,11,19963904,16580,public,new_order,1,0,20,20,450012,0,10,0,450001,11,18021,18012,,2022-04-20 06:50:50.254640+00:00,,2022-04-20 06:50:50.341134+00:00,0,8,0,11
1650437519.794445,public.oorder,1500039,11,98877440,16567,public,oorder,3,0,15451869,15451869,1500012,10,0,0,1500039,11,60021,12,,2022-04-20 06:51:51.059973+00:00,,2022-04-20 06:50:50.218488+00:00,0,9,0,11
1650437519.794445,public.order_line,14983609,102,1517756416,16590,public,order_line,1,0,26,459,15001832,102,0,0,14983609,102,818275,842109,,2022-04-20 06:50:52.559566+00:00,,2022-04-20 06:50:53.454844+00:00,0,9,0,12
