ds,table_name,pg_stat_get_live_tuples,pg_stat_get_dead_tuples,pg_table_size,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1650448329.7222722,public.usertable,50997,4986,65683456,16943,public,usertable,1,0,108125,1110363,55082,8192,4047,2860,50997,4986,7973,2687,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448330.7493384,public.usertable,51041,5361,66150400,16943,public,usertable,1,0,113154,1145979,55288,8456,4209,2941,51041,5361,8605,2893,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448331.7754028,public.usertable,51105,5709,66600960,16943,public,usertable,1,0,117763,1177757,55494,8707,4351,3021,51105,5709,9204,3099,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448332.801118,public.usertable,51240,6244,67125248,16943,public,usertable,1,0,125149,1225037,55832,9112,4554,3143,51240,6244,10150,3437,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448333.8259096,public.usertable,51311,6602,67584000,16943,public,usertable,1,0,129977,1255266,56045,9379,4696,3240,51311,6602,10772,3650,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448334.852125,public.usertable,51419,6976,68091904,16943,public,usertable,1,0,134987,1288638,56268,9682,4811,3343,51419,6976,11413,3873,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448335.8782716,public.usertable,51531,7363,68624384,16943,public,usertable,1,0,140128,1323845,56527,9966,4958,3443,51531,7363,12103,4132,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448336.9031825,public.usertable,51645,7736,69140480,16943,public,usertable,1,0,145278,1352743,56778,10257,5095,3545,51645,7736,12782,4383,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448337.9281116,public.usertable,51711,8056,69550080,16943,public,usertable,1,0,150291,1392335,56983,10490,5234,3640,51711,8056,13359,4588,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448338.9543202,public.usertable,51840,8412,70066176,16943,public,usertable,1,0,155530,1423160,57245,10761,5367,3748,51840,8412,14025,4850,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448339.9802315,public.usertable,51957,8733,70533120,16943,public,usertable,1,0,160505,1461417,57489,11010,5494,3848,51957,8733,14645,5094,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448341.0049102,public.usertable,52018,9109,70950912,16943,public,usertable,1,0,165804,1497512,57719,11266,5663,3970,52018,9109,15300,5324,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448342.0285559,public.usertable,52118,9465,71434240,16943,public,usertable,1,0,171241,1533128,57948,11535,5792,4089,52118,9465,15927,5553,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448343.055619,public.usertable,52233,9802,71925760,16943,public,usertable,1,0,176417,1567540,58187,11804,5916,4200,52233,9802,16559,5792,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448344.0818355,public.usertable,52381,10126,72384512,16943,public,usertable,1,0,181710,1598603,58447,12056,6028,4306,52381,10126,17183,6052,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448345.1063557,public.usertable,52476,10476,72835072,16943,public,usertable,1,0,186859,1626923,58677,12312,6163,4424,52476,10476,17804,6282,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448346.1311977,public.usertable,52574,10813,73293824,16943,public,usertable,1,0,192099,1652541,58911,12560,6299,4522,52574,10813,18422,6516,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448347.1577842,public.usertable,52693,11103,73744384,16943,public,usertable,1,0,197483,1682398,59146,12785,6415,4622,52693,11103,18998,6751,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448348.182187,public.usertable,52797,11445,74194944,16943,public,usertable,1,0,202411,1707539,59388,13027,6553,4724,52797,11445,19620,6993,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448349.2083125,public.usertable,52902,11810,74686464,16943,public,usertable,1,0,207688,1736876,59624,13319,6684,4859,52902,11810,20279,7229,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448350.234433,public.usertable,53044,12117,75161600,16943,public,usertable,1,0,212960,1764069,59892,13569,6810,4954,53044,12117,20923,7497,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448351.259624,public.usertable,53164,12444,75636736,16943,public,usertable,1,0,218240,1792019,60153,13814,6951,5069,53164,12444,21570,7758,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448352.2873871,public.usertable,53296,12754,76111872,16943,public,usertable,1,0,223628,1817981,60411,14076,7077,5185,53296,12754,22216,8016,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448353.3140168,public.usertable,53473,13162,76513280,16943,public,usertable,1,0,230775,1857632,60791,14356,7280,5317,53473,13162,23079,8396,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448354.3387246,public.usertable,53580,13478,76955648,16943,public,usertable,1,0,236058,1884328,61020,14585,7402,5414,53580,13478,23659,8625,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448355.3635666,public.usertable,53696,13772,77414400,16943,public,usertable,1,0,241333,1907578,61260,14823,7526,5516,53696,13772,24261,8865,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448356.3892243,public.usertable,53840,14075,77873152,16943,public,usertable,1,0,246562,1935240,61511,15085,7633,5627,53840,14075,24881,9116,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448357.4141161,public.usertable,53994,14392,78356480,16943,public,usertable,1,0,252022,1961020,61789,15333,7757,5746,53994,14392,25531,9394,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448358.4419973,public.usertable,54159,14660,78839808,16943,public,usertable,1,0,257313,1997947,62072,15539,7875,5842,54159,14660,26138,9677,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448359.4669645,public.usertable,54286,14985,79314944,16943,public,usertable,1,0,262967,2026261,62324,15790,8000,5960,54286,14985,26766,9929,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448360.4916022,public.usertable,54431,15261,79716352,16943,public,usertable,1,0,268084,2045542,62571,16014,8102,6073,54431,15261,27339,10176,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448361.516399,public.usertable,54547,15574,80150528,16943,public,usertable,1,0,273475,2068145,62809,16252,8224,6191,54547,15574,27937,10414,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448362.5424073,public.usertable,54648,15864,80584704,16943,public,usertable,1,0,278873,2091363,63048,16475,8362,6304,54648,15864,28537,10653,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448363.5690477,public.usertable,54779,16158,81043456,16943,public,usertable,1,0,284212,2115585,63305,16699,8488,6419,54779,16158,29144,10910,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448364.5947108,public.usertable,54930,16426,81485824,16943,public,usertable,1,0,289791,2141730,63571,16920,8603,6523,54930,16426,29746,11176,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
1650448365.6193275,public.usertable,55043,16736,81936384,16943,public,usertable,1,0,295130,2169130,63809,17165,8728,6628,55043,16736,30354,11414,,2022-04-20 09:51:56.465067+00:00,,2022-04-20 09:51:57.241251+00:00,0,1,0,1
