ds,table_name,pg_stat_get_live_tuples,pg_stat_get_dead_tuples,pg_table_size,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1650436030.5242941,public.usertable,50000,0,58556416,16387,public,usertable,1,0,0,0,50000,0,0,0,50000,0,50000,50000,,,,,0,0,0,0
1650436031.5379927,public.usertable,50000,0,58646528,16387,public,usertable,1,0,1,1,50000,0,0,0,50000,0,50000,50000,,,,,0,0,0,0
1650436032.5632825,public.usertable,49951,406,59080704,16387,public,usertable,1,0,2003,40322,50098,286,147,56,49951,406,50531,50098,,,,,0,0,0,0
1650436033.59541,public.usertable,49916,886,59596800,16387,public,usertable,1,0,4972,93234,50227,655,311,150,49916,886,51193,50227,,,,,0,0,0,0
1650436034.6221278,public.usertable,49907,1388,60104704,16387,public,usertable,1,0,8290,135531,50390,1022,483,245,49907,1388,51895,50390,,,,,0,0,0,0
1650436035.6469529,public.usertable,49938,1831,60579840,16387,public,usertable,1,0,11514,186993,50578,1335,640,343,49938,1831,52553,50578,,,,,0,0,0,0
1650436036.672804,public.usertable,49949,2265,61063168,16387,public,usertable,1,0,14696,229523,50743,1647,794,431,49949,2265,53184,50743,,,,,0,0,0,0
1650436037.6966639,public.usertable,49973,2707,61521920,16387,public,usertable,1,0,18421,281075,50920,1973,947,535,49973,2707,53840,50920,,,,,0,0,0,0
1650436038.7234204,public.usertable,49968,3131,61947904,16387,public,usertable,1,0,22012,328374,51102,2260,1134,649,49968,3131,54496,51102,,,,,0,0,0,0
1650436039.7498863,public.usertable,49966,3826,62439424,16387,public,usertable,1,0,27983,394518,51353,2777,1387,825,49966,3826,55517,51353,,,,,0,0,0,0
1650436040.7765045,public.usertable,49942,4257,62857216,16387,public,usertable,1,0,31884,441946,51497,3093,1555,940,49942,4257,56145,51497,,,,,0,0,0,0
1650436041.8037164,public.usertable,49978,4640,63324160,16387,public,usertable,1,0,35762,480820,51688,3380,1710,1024,49978,4640,56778,51688,,,,,0,0,0,0
1650436042.8301437,public.usertable,50000,5024,63758336,16387,public,usertable,1,0,39497,522145,51855,3671,1855,1122,50000,5024,57381,51855,,,,,0,0,0,0
1650436043.8559563,public.usertable,50034,5410,64200704,16387,public,usertable,1,0,43476,566411,52033,3968,1999,1237,50034,5410,58000,52033,,,,,0,0,0,0
1650436044.8807335,public.usertable,50070,5811,64643072,16387,public,usertable,1,0,47358,599144,52237,4246,2167,1344,50070,5811,58650,52237,,,,,0,0,0,0
1650436045.9048193,public.usertable,50106,226,64880640,16387,public,usertable,1,0,51492,639550,52437,4526,2319,1488,50106,226,59282,106,,2022-04-20 06:27:25.514827+00:00,,,0,1,0,0
1650436046.9349406,public.usertable,50135,523,64880640,16387,public,usertable,1,0,55517,683023,52616,4814,2448,1661,50135,523,596,285,,2022-04-20 06:27:25.514827+00:00,,2022-04-20 06:27:26.208662+00:00,0,1,0,1
1650436047.9590886,public.usertable,50161,973,64880640,16387,public,usertable,1,0,60062,723454,52815,5116,2621,1825,50161,973,1270,484,,2022-04-20 06:27:25.514827+00:00,,2022-04-20 06:27:26.208662+00:00,0,1,0,1
