ds,table_name,pg_stat_get_live_tuples,pg_stat_get_dead_tuples,pg_table_size,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1650436421.1081533,public.usertable,100000,0,117088256,16671,public,usertable,1,0,0,0,100000,0,0,0,100000,0,100000,100000,,,,,0,0,0,0
1650436422.1257224,public.usertable,100000,0,117178368,16671,public,usertable,1,0,1,1,100000,0,0,0,100000,0,100000,100000,,,,,0,0,0,0
1650436423.1538198,public.usertable,100054,195,117506048,16671,public,usertable,1,0,461,5955,100170,83,116,12,100054,195,100369,100170,,,,,0,0,0,0
1650436424.187278,public.usertable,100134,391,117841920,16671,public,usertable,1,0,1003,13184,100365,170,231,24,100134,391,100766,100365,,,,,0,0,0,0
1650436425.2165608,public.usertable,100243,590,118202368,16671,public,usertable,1,0,1602,21401,100590,260,347,37,100243,590,101197,100590,,,,,0,0,0,0
1650436426.2449086,public.usertable,100369,785,118579200,16671,public,usertable,1,0,2245,29915,100824,352,455,49,100369,785,101631,100824,,,,,0,0,0,0
1650436427.2735555,public.usertable,100468,1013,118947840,16671,public,usertable,1,0,2940,36749,101051,455,583,68,100468,1013,102089,101051,,,,,0,0,0,0
1650436428.3048975,public.usertable,100650,1297,119316480,16671,public,usertable,1,0,3924,49961,101400,578,750,90,100650,1297,102728,101400,,,,,0,0,0,0
1650436429.3364723,public.usertable,100801,1478,119701504,16671,public,usertable,1,0,4495,57568,101662,650,861,102,100801,1478,103173,101662,,,,,0,0,0,0
1650436430.3678591,public.usertable,100937,1656,120061952,16671,public,usertable,1,0,5133,65602,101905,728,968,114,100937,1656,103601,101905,,,,,0,0,0,0
1650436431.3990679,public.usertable,101093,1838,120446976,16671,public,usertable,1,0,5766,72889,102165,807,1072,135,101093,1838,104044,102165,,,,,0,0,0,0
1650436432.4298317,public.usertable,101211,2045,120815616,16671,public,usertable,1,0,6490,79570,102400,899,1189,152,101211,2045,104488,102400,,,,,0,0,0,0
1650436433.4583828,public.usertable,101334,2228,121167872,16671,public,usertable,1,0,7160,88419,102635,971,1301,165,101334,2228,104907,102635,,,,,0,0,0,0
1650436434.4883776,public.usertable,101478,2402,121536512,16671,public,usertable,1,0,7830,95116,102872,1056,1394,180,101478,2402,105322,102872,,,,,0,0,0,0
1650436435.5177968,public.usertable,101633,2584,121937920,16671,public,usertable,1,0,8527,102372,103143,1133,1510,194,101633,2584,105786,103143,,,,,0,0,0,0
