ds,table_name,pg_stat_get_live_tuples,pg_stat_get_dead_tuples,pg_table_size,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1650434532.4666722,public.usertable,155281,34429,217513984,16560,public,usertable,1,0,335430,1254724,175869,16351,20588,6502,155281,34429,212808,175869,,,,,0,0,0,0
1650434533.497152,public.usertable,155474,34471,217767936,16560,public,usertable,1,0,335961,1255496,176079,16376,20605,6512,155474,34471,213060,176079,,,,,0,0,0,0
1650434534.5270972,public.usertable,155689,34499,218046464,16560,public,usertable,1,0,336550,1256601,176312,16391,20623,6522,155689,34499,213326,176312,,,,,0,0,0,0
1650434535.5584712,public.usertable,155851,34534,218275840,16560,public,usertable,1,0,336998,1258175,176499,16405,20648,6527,155851,34534,213552,176499,,,,,0,0,0,0
1650434536.58883,public.usertable,156045,34571,218554368,16560,public,usertable,1,0,337615,1259559,176715,16421,20670,6535,156045,34571,213806,176715,,,,,0,0,0,0
1650434537.6188736,public.usertable,156242,34609,218832896,16560,public,usertable,1,0,338309,1260548,176937,16442,20695,6547,156242,34609,214074,176937,,,,,0,0,0,0
1650434538.6510167,public.usertable,156491,34629,219160576,16560,public,usertable,1,0,338954,1261644,177198,16452,20707,6554,156491,34629,214357,177198,,,,,0,0,0,0
1650434539.6809177,public.usertable,156747,34659,219488256,16560,public,usertable,1,0,339726,1263947,177476,16471,20729,6562,156747,34659,214676,177476,,,,,0,0,0,0
1650434540.7093925,public.usertable,156959,34699,219750400,16560,public,usertable,1,0,340231,1265042,177709,16496,20750,6579,156959,34699,214955,177709,,,,,0,0,0,0
1650434541.7381349,public.usertable,157138,34734,220012544,16560,public,usertable,1,0,340826,1266905,177911,16517,20773,6592,157138,34734,215201,177911,,,,,0,0,0,0
1650434542.7670536,public.usertable,157326,34753,220258304,16560,public,usertable,1,0,341346,1267698,178114,16528,20788,6596,157326,34753,215430,178114,,,,,0,0,0,0
1650434543.7979524,public.usertable,157503,34775,220479488,16560,public,usertable,1,0,341826,1268773,178308,16540,20805,6603,157503,34775,215653,178308,,,,,0,0,0,0
1650434544.8275094,public.usertable,157661,34800,220692480,16560,public,usertable,1,0,342303,1269341,178481,16550,20820,6608,157661,34800,215851,178481,,,,,0,0,0,0
1650434545.8577654,public.usertable,157969,34851,221011968,16560,public,usertable,1,0,343173,1270892,178820,16576,20851,6621,157969,34851,216247,178820,,,,,0,0,0,0
1650434546.887808,public.usertable,158202,34892,221347840,16560,public,usertable,1,0,343952,1272662,179080,16598,20878,6629,158202,34892,216556,179080,,,,,0,0,0,0
1650434547.9186068,public.usertable,158437,34952,221683712,16560,public,usertable,1,0,344666,1273946,179346,16627,20909,6643,158437,34952,216882,179346,,,,,0,0,0,0
1650434548.95097,public.usertable,158692,34981,222019584,16560,public,usertable,1,0,345428,1274950,179626,16636,20934,6650,158692,34981,217196,179626,,,,,0,0,0,0
1650434549.977848,public.usertable,158931,35025,222363648,16560,public,usertable,1,0,346138,1277360,179895,16654,20964,6659,158931,35025,217513,179895,,,,,0,0,0,0
1650434551.0057366,public.usertable,159204,35076,222740480,16560,public,usertable,1,0,347099,1278929,180202,16676,20998,6668,159204,35076,217876,180202,,,,,0,0,0,0
1650434552.0338137,public.usertable,159445,35129,223100928,16560,public,usertable,1,0,347810,1279509,180474,16700,21029,6678,159445,35129,218203,180474,,,,,0,0,0,0
1650434553.0634356,public.usertable,159741,35179,223485952,16560,public,usertable,1,0,348596,1280812,180793,16731,21052,6691,159741,35179,218576,180793,,,,,0,0,0,0
1650434554.092059,public.usertable,159993,35234,223846400,16560,public,usertable,1,0,349452,1282121,181079,16757,21086,6705,159993,35234,218922,181079,,,,,0,0,0,0
1650434555.1213214,public.usertable,160242,35276,224190464,16560,public,usertable,1,0,350205,1282903,181357,16775,21115,6714,160242,35276,219247,181357,,,,,0,0,0,0
1650434556.1537352,public.usertable,160486,35315,224526336,16560,public,usertable,1,0,350954,1284127,181627,16794,21141,6726,160486,35315,219562,181627,,,,,0,0,0,0
1650434557.1831067,public.usertable,160773,35354,224911360,16560,public,usertable,1,0,351759,1284953,181941,16810,21168,6733,160773,35354,219919,181941,,,,,0,0,0,0
1650434558.2144587,public.usertable,161039,35397,225271808,16560,public,usertable,1,0,352500,1286088,182232,16830,21193,6741,161039,35397,220255,182232,,,,,0,0,0,0
1650434559.2466373,public.usertable,161267,35452,225615872,16560,public,usertable,1,0,353210,1287813,182493,16855,21226,6755,161267,35452,220574,182493,,,,,0,0,0,0
1650434560.2760243,public.usertable,161553,35509,225992704,16560,public,usertable,1,0,353982,1289660,182811,16880,21258,6768,161553,35509,220949,182811,,,,,0,0,0,0
1650434561.3055503,public.usertable,161787,35559,226344960,16560,public,usertable,1,0,354782,1291281,183075,16914,21288,6785,161787,35559,221277,183075,,,,,0,0,0,0
1650434562.3353906,public.usertable,162073,35603,226713600,16560,public,usertable,1,0,355674,1291807,183382,16944,21309,6806,162073,35603,221635,183382,,,,,0,0,0,0
1650434563.3647828,public.usertable,162329,35650,227090432,16560,public,usertable,1,0,356574,1292758,183667,16968,21338,6821,162329,35650,221973,183667,,,,,0,0,0,0
1650434564.3942719,public.usertable,162641,35680,227475456,16560,public,usertable,1,0,357364,1293137,183994,16986,21353,6832,162641,35680,222333,183994,,,,,0,0,0,0
1650434565.4237614,public.usertable,163026,35736,227819520,16560,public,usertable,1,0,358503,1297159,184418,17020,21392,6849,163026,35736,222830,184418,,,,,0,0,0,0
