ds,table_name,pg_stat_get_live_tuples,pg_stat_get_dead_tuples,pg_table_size,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1650448000.1759415,public.usertable,100000,0,117088256,16893,public,usertable,1,0,0,0,100000,0,0,0,100000,0,100000,100000,,,,,0,0,0,0
1650448001.1935995,public.usertable,100000,0,117178368,16893,public,usertable,1,0,1,1,100000,0,0,0,100000,0,100000,100000,,,,,0,0,0,0
1650448002.2232053,public.usertable,100071,197,117497856,16893,public,usertable,1,0,442,7825,100183,87,112,12,100071,197,100382,100183,,,,,0,0,0,0
1650448003.2582297,public.usertable,100159,389,117858304,16893,public,usertable,1,0,949,16606,100389,164,230,27,100159,389,100783,100389,,,,,0,0,0,0
1650448004.2877278,public.usertable,100280,563,118210560,16893,public,usertable,1,0,1490,25959,100611,254,331,40,100280,563,101196,100611,,,,,0,0,0,0
1650448005.3184829,public.usertable,100413,748,118587392,16893,public,usertable,1,0,2031,33767,100848,336,435,55,100413,748,101619,100848,,,,,0,0,0,0
1650448006.3520813,public.usertable,100546,921,118939648,16893,public,usertable,1,0,2652,44486,101078,419,532,68,100546,921,102029,101078,,,,,0,0,0,0
1650448007.3820581,public.usertable,100736,1199,119308288,16893,public,usertable,1,0,3546,56423,101435,533,699,86,100736,1199,102667,101435,,,,,0,0,0,0
1650448008.4137118,public.usertable,100848,1392,119660544,16893,public,usertable,1,0,4202,64206,101662,616,814,102,100848,1392,103092,101662,,,,,0,0,0,0
1650448009.4418187,public.usertable,100985,1577,120029184,16893,public,usertable,1,0,4882,72210,101908,698,923,119,100985,1577,103529,101908,,,,,0,0,0,0
1650448010.4706678,public.usertable,101147,1765,120430592,16893,public,usertable,1,0,5582,77564,102167,796,1020,133,101147,1765,103983,102167,,,,,0,0,0,0
1650448011.4989831,public.usertable,101267,1950,120791040,16893,public,usertable,1,0,6244,86963,102404,866,1137,148,101267,1950,104407,102404,,,,,0,0,0,0
1650448012.529736,public.usertable,101418,2118,121167872,16893,public,usertable,1,0,6934,95586,102641,951,1223,157,101418,2118,104815,102641,,,,,0,0,0,0
1650448013.5597196,public.usertable,101579,2279,121544704,16893,public,usertable,1,0,7588,103091,102888,1031,1309,170,101579,2279,105228,102888,,,,,0,0,0,0
1650448014.591361,public.usertable,101741,2453,121937920,16893,public,usertable,1,0,8293,113171,103145,1113,1404,185,101741,2453,105662,103145,,,,,0,0,0,0
1650448015.6217823,public.usertable,101891,2624,122306560,16893,public,usertable,1,0,8942,119137,103390,1193,1499,205,101891,2624,106082,103390,,,,,0,0,0,0
1650448016.6547666,public.usertable,102011,2817,122642432,16893,public,usertable,1,0,9665,124844,103614,1287,1603,226,102011,2817,106504,103614,,,,,0,0,0,0
1650448017.6842985,public.usertable,102137,2985,123002880,16893,public,usertable,1,0,10302,130370,103839,1360,1702,241,102137,2985,106901,103839,,,,,0,0,0,0
1650448018.7142096,public.usertable,102309,3145,123379712,16893,public,usertable,1,0,11004,135201,104103,1431,1794,258,102309,3145,107328,104103,,,,,0,0,0,0
1650448019.7433646,public.usertable,102463,3293,123748352,16893,public,usertable,1,0,11593,141285,104336,1503,1873,274,102463,3293,107712,104336,,,,,0,0,0,0
1650448020.7723632,public.usertable,102644,3453,124141568,16893,public,usertable,1,0,12292,149859,104606,1578,1962,293,102644,3453,108146,104606,,,,,0,0,0,0
1650448021.8028123,public.usertable,102791,3633,124493824,16893,public,usertable,1,0,12970,155139,104864,1648,2073,307,102791,3633,108585,104864,,,,,0,0,0,0
1650448022.8336964,public.usertable,102943,3798,124854272,16893,public,usertable,1,0,13655,162423,105111,1722,2168,323,102943,3798,109001,105111,,,,,0,0,0,0
1650448023.8616223,public.usertable,103066,3960,125181952,16893,public,usertable,1,0,14262,169987,105335,1783,2269,335,103066,3960,109387,105335,,,,,0,0,0,0
1650448024.8922808,public.usertable,103227,4107,125558784,16893,public,usertable,1,0,14892,174829,105585,1845,2358,352,103227,4107,109788,105585,,,,,0,0,0,0
1650448025.923461,public.usertable,103469,4352,125935616,16893,public,usertable,1,0,15924,183820,105972,1958,2503,383,103469,4352,110433,105972,,,,,0,0,0,0
1650448026.9546697,public.usertable,103648,4511,126328832,16893,public,usertable,1,0,16701,192618,106244,2034,2596,404,103648,4511,110874,106244,,,,,0,0,0,0
1650448027.9837708,public.usertable,103829,4650,126689280,16893,public,usertable,1,0,17297,200910,106512,2092,2683,421,103829,4650,111287,106512,,,,,0,0,0,0
1650448029.0145774,public.usertable,103858,4668,126730240,16893,public,usertable,1,0,17397,201074,106553,2098,2695,422,103858,4668,111346,106553,,,,,0,0,0,0
1650448030.04627,public.usertable,104020,4828,127098880,16893,public,usertable,1,0,18145,207001,106808,2174,2788,447,104020,4828,111770,106808,,,,,0,0,0,0
1650448031.0766442,public.usertable,104208,4972,127483904,16893,public,usertable,1,0,18844,213860,107087,2227,2879,464,104208,4972,112193,107087,,,,,0,0,0,0
1650448032.1057198,public.usertable,104378,5106,127836160,16893,public,usertable,1,0,19490,217578,107343,2287,2965,476,104378,5106,112595,107343,,,,,0,0,0,0
1650448033.1339521,public.usertable,104538,5255,128188416,16893,public,usertable,1,0,20225,222451,107585,2357,3047,498,104538,5255,112989,107585,,,,,0,0,0,0
1650448034.1652813,public.usertable,104707,5403,128557056,16893,public,usertable,1,0,20886,227581,107835,2425,3128,510,104707,5403,113388,107835,,,,,0,0,0,0
1650448035.1933177,public.usertable,104875,5531,128909312,16893,public,usertable,1,0,21493,233337,108079,2483,3204,522,104875,5531,113766,108079,,,,,0,0,0,0
1650448036.2216468,public.usertable,105029,5637,129220608,16893,public,usertable,1,0,22015,237991,108294,2529,3265,529,105029,5637,114088,108294,,,,,0,0,0,0
1650448037.2519085,public.usertable,105210,5791,129613824,16893,public,usertable,1,0,22776,244691,108573,2591,3363,545,105210,5791,114527,108573,,,,,0,0,0,0
1650448038.2803361,public.usertable,105381,5958,130015232,16893,public,usertable,1,0,23475,250551,108828,2679,3447,559,105381,5958,114954,108828,,,,,0,0,0,0
1650448039.30931,public.usertable,105571,6119,130408448,16893,public,usertable,1,0,24217,258394,109115,2754,3544,582,105571,6119,115413,109115,,,,,0,0,0,0
1650448040.3396668,public.usertable,105731,6293,130793472,16893,public,usertable,1,0,24949,263114,109384,2820,3653,597,105731,6293,115857,109384,,,,,0,0,0,0
1650448041.3720176,public.usertable,105931,6429,131178496,16893,public,usertable,1,0,25682,265557,109661,2882,3730,614,105931,6429,116273,109661,,,,,0,0,0,0
1650448042.401491,public.usertable,106109,6551,131538944,16893,public,usertable,1,0,26321,269337,109920,2928,3811,623,106109,6551,116659,109920,,,,,0,0,0,0
1650448043.4310234,public.usertable,106250,6720,131891200,16893,public,usertable,1,0,27078,277833,110155,3006,3905,637,106250,6720,117066,110155,,,,,0,0,0,0
1650448044.4619231,public.usertable,106433,6867,132284416,16893,public,usertable,1,0,27790,282571,110417,3075,3984,658,106433,6867,117476,110417,,,,,0,0,0,0
